chr,en
"ᎠᎦᏗᏓ ᏚᎾᏓᏚᎯᏍᏕᎢ ᎤᏲ ᎠᏒᎬ, ᏃᎴ ᎤᏩᎬᏘᎶᏓ ᎤᏃᎮᎴ ᏫᎵᎻ ᏄᎵᏍᏔᏁᎸ ᎡᎳᏆᏗ ᏃᎴ ᎤᏁᎸᏔᏅ ᎤᏂᏴᏗ ᏌᎳᏓ ᏃᎴ ᎤᏪᏥ ᎤᎪᏏᏓ ᎤᏲᏨ ᎤᎨᎯᏙᎸ ᎡᎳᏆᏗ.","There were many complaints about the awful smell, and Wilbur had to tell the story over and over again, of how the Arable boy had tried to capture Charlotte, and how the smell of the broken egg drove him away just in time."
ᎢᎸᏍᎩᏍᎪ ᎢᏯᏥᏛᎯ ᎦᎶᏁᏛ? ᏉᎳᏍᎪ ᏓᏓᎿᏩᏍᏛ ᎠᎦᏛᏁ ᎢᏥᏍᏕᎸᏗᏱ? ᎠᎴᏍᎪ ᏉᎳ ᏚᏙᎥ ᏕᏣᏬᏍᏔᏁᎢ?,Is Christ divided? was Paul crucified for you? or were ye baptized into the name of Paul?
ᎤᎦᏙᏍᏛᎢ ᏫᎵᎻ ᏚᏲᏎ ᎠᏦᏴᎢ ᏃᎴ ᎤᎵᏌᎵᏓᏁᎢ.,"As Wilbur watched, the spider let go of the fence and rose into the air."
ᎤᏁᎷᏁᎢ ᎤᎾᏓᏓᏍᎩ.,The crowd cheered.
ᎡᎶᎯ ᏧᏙᏢᏅ ᏅᏓᎬᏩᏓᎴᏅᏛ ᎥᏝ ᏱᎨᎦᏛᎦᏃ ᎩᎶ ᏚᏍᏚᎢᎡᎸ ᏗᎦᏙᎵ ᏗᎨᏫ ᎤᏕᏅᎯ.,Since the world began it was never heard that any one opened the eyes of a man born blind.
"”ᎪᎱᏍᏗ ᏕᏥᎪᏩᏘᎭ,” ᎤᏛᏁ ᎠᏝᏪᎯ.","“I’m seeing things,” he whispered."
ᎯᎠᏃ ᏄᏪᏎᎴ ᎠᎨᏴ; ᏣᏍᎦᏅᏨ ᎡᏣᏙᎵᎩ.,"And he said unto her, Thy sins are forgiven."
ᏃᏉᏗ ᎯᏢᎾ.”,"And now, go to sleep.”"
ᏍᎩᏴᏃ ᎠᏥᎳ ᎠᎪᎲᏍᎬ ᎯᎠ ᎠᏂᏴᏫ ᏣᎾᏴᎩᏍᎨ ᏗᎧᏃᎩᏓ ᎠᏥᎸ ᎢᏣ ᏗᏓᏅᏫᏍᎩ ᏗᎧᏃᎩᏓ.,As the fire burned the people heard songs coming from the fire –  songs of healing.
"ᎤᏍᏆᏙᏅ ᎤᎦᏔᎲᏍᎬ ᏄᏍᏛ, ᎤᏅᎦᎸᎲ ᎪᎢᎭ ᎦᏰᏌᏛ.","When he was done tasting, he scrubbed at his greasy finger with the thumb of the same fist."
"ᎠᎴ ᎾᏍᎩ ᏥᏫᏍᎪᎢ, ᎥᏝ ᎾᏍᎩ ᎠᏰᎸ ᎤᏙᏢᏗ ᎨᏒ ᏱᏫᏍᎪᎢ, ᎤᎦᏔᎭᏉᏍᎩᏂ, ᎤᏣᎴᏍᏗᏉ ᏱᎩ, ᎠᎴ ᎪᎱᏍᏗᏉ ᎤᏍᏗ ᏅᏩᏓᎴ ᏱᎩ;","and that which thou sowest, thou sowest not the body that shall be, but a bare grain, it may chance of wheat, or of some other kind;"
ᎤᏲ ᎤᎾᏗᏅᏗ ᏪᏙᎰ ᎢᎪᎯᏓ ᏃᎴ ᏓᎪᏩᏘᏍᎪ ᏧᏪᏘ ᏗᎪᏪᎵ ᏗᎪᎵᏰᏗ.,The rat visits the dump regularly and has access to old magazines.
"ᎾᎯᏳᏃ ᎤᏒᎯ ᎢᏈᎬᎢ ᏂᎦᏟᎮ, ᎠᏧᏣᏃ ᏒᎦᏔ ᏚᎧᏁᏞᎢ ᎥᎿ ᎤᏩᏅᎦᏢᎢ ᏒᎦᏔ ᎢᏈᎬᎢ.","That night as the tree slept, the boy tied a big red apple on a branch of the little apple tree."
"ᏍᎩᏃ ᎣᏍᏓ ᎠᏆᏅᏛ, ᎢᏳᏍᏘ ᎤᎾᎩᎵ ᎠᏂᏲᏍᎨ ᏃᎴ ᎠᏁᎩ ᎤᏂᏍᎦᏅᏨ ᏑᎾᎴ ᏥᏂᎦᎵᏍᏗ ᏣᎾᏂᎩᏍᎨ, ᎠᏌᎻᏓ ᎤᏍᎦᎢᏓ ᎤᏔᏁ ᎤᏍᏗ ᎪᏪᎵ ᏗᏆᏥᎶᏍᏔᏅ ᎠᏥᎶᏛ.","That, to the best of my remembrance, is why the mounted soldiers and their pedestrian prisoners left after daybreak, Smith navigating nervously by the little scrap of map I had drawn for him."
"ᏤᏍᏗᏗ ᏱᏙᎨᏍᏗᏉ, ᏫᎵᎻ!","“Don’t just stand there, Wilbur!"
"ᎬᏂᎨᏒᎢᏳ ᎢᏰᏨᏁᎸᎯ ᏂᎯ ᎦᎶᏁᏛ ᎤᏤᎵ ᎪᏪᎵ ᎨᏒᎢ, ᎠᏴ ᏦᎩᎸᏫᏍᏓᏁᎸᎯ, ᎪᏪᎳᏅᎯ ᎪᏪᎶᏗ ᎬᏔᏅᎯ ᏂᎨᏒᎾ, ᎠᏓᏅᏙᏍᎩᏂ ᎤᏁᎳᏅᎯ ᎬᏂᏛ ᎤᏤᎵ ᎬᏔᏅᎯ; ᎥᏝ ᏅᏲᎯ ᏗᎪᏪᎶᏗᏱ ᏗᎪᏪᎳᏅᎯ ᏱᎩ, ᎤᏇᏓᎵᏍᎩᏂ ᎨᏒ ᏗᎪᏪᎶᏗᏱ ᎣᎾᏫᏱ.","being made manifest that ye are an epistle of Christ, ministered by us, written not with ink, but with the Spirit of the living God; not in tables of stone, but in tables that are hearts of flesh."
"ᎯᎠᏃ ᏅᏥᏪᏎᎸᎩ, ᏣᎬᏫᏳᎯ ᏂᎯ ᎯᎦᏔᎭ. ᎯᎠᏃ ᎾᎩᏪᏎᎸᎩ, ᎯᎠᏍᎩᏂ Ꮎ ᎤᏣᏘ ᎠᎩᎵᏯ ᎨᏒ ᏅᏓᏳᏂᎶᏒᎯ, ᎠᎴ ᎤᏃᏕᎾ ᎠᎩᎾ ᎤᎩᎬᏱ ᏧᏅᎩᎶᎥᎯ ᏧᎾᏁᏬ ᎠᎴ ᏧᏁᎬ ᎢᏧᏅᏁᎸᎯ.","And I say unto him, My lord, thou knowest. And he said to me, These are they that come out of the great tribulation, and they washed their robes, and made them white in the blood of the Lamb."
"ᎠᏎᏴᏫᏃ ᏚᏍᏆᎸᏔᏅ, ᎠᎴ ᏚᏬᎵ ᏧᏂᏦᏯᏍᏗ ᏭᎧᎵᎢᏍᏔᏅ, ᎠᎴ ᎦᎾᏍᏙᎯ ᎤᏪᏆᏔᏅ, ᎤᏁᏁᎸ ᎤᏗᏔᏍᏗ; ᎯᎠ ᏄᏪᏎᎢ, ᎤᏁᎳᎩ, ᎢᏓᏙᎴᎰᎯ, ᏥᎪᏃ ᎢᏔᏯ ᏓᎦᎷᏥ ᏓᏳᏠᎥᏔᏂᎵ.","And one ran, and filling a sponge full of vinegar, put it on a reed, and gave him to drink, saying, Let be; let us see whether Elijah cometh to take him down."
ᎠᏴᏫᏯ ᎤᎬᏫᏳ ᎠᏂᏁᎵ ᏫᎦᎷᎬ ᎢᎦ ᏒᎯᏰᏣ ᎠᏗᏔᎯᏙ ᏃᎴ ᎠᏓᏩᏛᎯᏙ.,He soon began coming around the Indian Queen late afternoons for a drink and a visit.
"ᎿᏉᏃ ᎠᏂᏯᏫᏍᎩ ᏚᏂᎦᎵᏒᎩ ᎠᏍᏕᏱᏛ ᎤᏍᏗ ᏥᏳ ᎦᏙᏌᏗᏍᏛᎢ, ᎠᎴ ᎾᏍᎩ ᎤᏬᎰᏒᎩ.","Then the soldiers cut away the ropes of the boat, and let her fall off."
"ᎠᏎᏃ ᎾᏍᎩ ᏂᏣᏛᎦ ᏕᏥᏍᎦᏅᏥ ᎢᏣᎵᏅᏟ, ᎠᎴ ᎤᏲ ᏂᏕᏨᎦ ᏗᏩᎾᎦᎳ ᏚᎾᏓᏅᏛᎢ, ᎦᎶᏁᏛ ᎡᏥᏍᎦᏅᏤᎰᎢ.","And thus, sinning against the brethren, and wounding their conscience when it is weak, ye sin against Christ."
"“ᎨᏍᏗᏗ ᏍᏆᏬᏣ ᏱᎬᏲᏎᎳ,” ᎤᏛᏁ ᎰᎻ.","“I didn’t ask for a shower bath,” said Mr. Zuckerman."
"ᎤᏍᏗ ᏚᏄᏌᏛ, ᎠᏎ ᎤᏍᎪᏍᏛ ᎠᎦᎵᏍᎬ ᎦᏲᏟᏉ ᎠᎪᏩᏛᏗ, ᎠᏥᎸ ᎠᏨᏍᏛ ᎨᏍᏗ ᎠᎪᏩᏛᏗ ᏱᎨᏎ.","His little mustache, faint even in brightest daylight, was invisible by the fire."
"ᎪᎯᏳᏗᏍᎩᏂ ᎨᏒ ᎠᏏ ᏂᎦᎾᏄᎪᎬᎾ ᏥᎨᏎᎢ, ᏗᎧᎿᏩᏛᏍᏗ ᎠᎲ ᎭᏫᏂᏗᏢ ᏂᎦᏛ ᏅᎩ, ᎡᎩᏍᏚᎲᎩ ᎪᎯᏳᏗ ᎨᏒ ᎣᏂ ᎬᏂᎨᏒ ᎢᎬᏁᏗ ᎨᏒ ᎢᏯᏍᏗ.","But before faith came, we were kept in ward under the law, shut up unto the faith which should afterwards be revealed."
ᎤᎾᏓᏅᏘᏃ ᎪᎯᏳᏗ ᎨᏒ ᎤᎾᏛᏂᏗᏍᏕᏍᏗ; ᎩᎶᏍᎩᏂ ᎢᏳᏍᏗ ᎢᎠᏨᏍᎨᏍᏗ ᎠᏆᏓᏅᏙ ᎥᏝ ᎣᏏᏳ ᏳᏰᎸᏎᏍᏗ ᎾᏍᎩ.,"But my righteous one shall live by faith: And if he shrink back, my soul hath no pleasure in him."
"ᎾᏍᎩᏃ ᎾᏂᎥ ᏚᏲᎱᎯᏎᎴᎢ, ᎾᏍᎩ Ꮎ ᏗᏅᏃᏛ ᏥᎩ ᎪᎯ ᎨᏒ ᎢᏳᏓᎴᏅᏛ ᎤᏅᏒᏉ ᎤᎾᏤᎵ ᎤᎬᏩᎵ ᎤᎾᎴᏂᏓᏍᏗᏱ ᏂᎨᏒᎾ, ᎾᏍᎩᏍᎩᏂ Ꮎ ᎤᏤᎵ ᎤᎬᏩᎵ ᏧᏲᎱᎯᏎᎸᎯ ᎠᎴ ᏧᎴᎯᏌᏅᎯ ᏥᎩ.","and he died for all, that they that live should no longer live unto themselves, but unto him who for their sakes died and rose again."
"ᏂᎯ ᎾᏍᏉ ᏗᏨᏂᏗᏳ ᎨᏎᏍᏗ; ᏗᏣᎵᏂᎪᎯᏍᏓ ᏗᏥᎾᏫ, ᎤᎬᏫᏳᎯᏰᏃ ᎤᎷᎯᏍᏗᏱ ᎤᏍᏆᎸᎯᏗ.",Be ye also patient; establish your hearts: for the coming of the Lord is at hand.
"ᎢᏥᏁᎬᏍᎩᏂ ᎯᎠ ᏄᏍᏕᏍᏗ, ᎥᎥ, ᎥᎥ; ᎥᏝ, ᎥᏝ; ᎤᏟᏰᏃ ᏥᏂᎦᎣ ᎤᏲᏉ ᎨᏒ ᏗᏓᎴᏂᏍᎪᎢ.","But let your speech be, Yea, yea; Nay, nay: and whatsoever is more than these is of the evil one."
"ᎠᎴ ᎾᏍᏉ ᏗᎦᏤᎵᎦ ᏩᎾᏕᎶᏆ ᏂᎪᎯᎸ ᎣᏍᏛ ᏧᏂᎸᏫᏍᏓᏁᏗᏱ ᎾᏍᎩ ᎤᏚᎸᏗ ᏂᎦᎵᏍᏗᏍᎬ ᎪᎱᏍᏗ ᎬᏔᏂᏓᏍᏗ, ᎾᏍᎩ ᎠᏂᏁᏉᏍᎩ ᎢᏳᎾᎵᏍᏙᏗᏱ.","And let our people also learn to maintain good works for necessary uses, that they be not unfruitful."
"ᎢᏤᏯᏔᎮᏍᏗ, ᎢᏥᏯᏫᏍᎨᏍᏗ ᎠᎴ ᎢᏣᏓᏙᎵᏍᏗᏍᎨᏍᏗ; ᎥᏝᏰᏃ ᏱᏥᎦᏔᎭ ᎢᏳ ᎨᏒᎢ.","Take ye heed, watch and pray: for ye know not when the time is."
"ᎣᏲᎢᏳᎢᏣᎵᏍᏓᏁᏗ ᏗᏦᏪᎵᏍᎩ, ᎠᎴ ᎢᏥᏆᎵᏏ, ᎢᏣᏠᎾᏍᏗ! ᏂᎯᏰᏃ ᏓᏓᏂᏌᎲ ᏕᏣᏤᎸ ᏄᏪᎵᏍᏛᎾ ᏥᎨᏐᎢ, ᎠᎴ ᏴᏫ ᎦᏚᎢ ᎠᏂᎶᏍᎩ ᎥᏝ ᏱᎾᏙᎴᎰᏍᎪᎢ.","Woe unto you! for ye are as the tombs which appear not, and the men that walk over them know it not."
"ᎯᎠᏃ ᏂᏚᏪᏎᎴᎢ, ᎯᎠ ᎾᏍᎩ ᏥᏂᏨᏪᏎᎸᎩ, ᎠᏏᏉ ᏥᏨᏰᎳᏗᏙᎲᎩ, ᎾᏍᎩ ᏂᎦᎥ ᎾᏍᎩ ᎠᏎ ᎢᏳᎵᏍᏙᏗ ᎨᏒᎢ ᎪᏪᎳᏅᎯ ᎨᏒ ᏗᎧᎿᏩᏛᏍᏗᏱ ᎼᏏ ᎤᏤᎵᎦ, ᎠᎴ ᎠᎾᏙᎴᎰᏍᎩ ᏚᏃᏪᎸᎢ, ᎠᎴ ᏗᎧᏃᎩᏍᏗᏱ, ᎠᏴ ᎬᎩᏃᎮᏍᎬᎢ.","And he said unto them, These are my words which I spake unto you, while I was yet with you, that all things must needs be fulfilled, which are written in the law of Moses, and the prophets, and the psalms, concerning me."
ᎦᎶᏇ ᏭᏴᎮ ᏃᎴ ᏄᏓᎴ ᎦᏚ ᎤᎦᎾᏍᏓ ᎠᏔᎸᎩᏓ ᎡᎳᏆᏗ.,Avery grabbed his gun and another doughnut.
"ᎾᏍᎩᏯ ᎠᏗᎾ ᎦᎶᏁᏛ ᎣᏍᏛ ᎧᏃᎮᏛ ᏧᎵᎶᎲᏍᎦ ᏂᏣᏛᏁᎴᏙᎮᏍᏗ; ᎾᏍᎩ ᎢᏳᏃ ᏱᏫᏨᎷᏤᎸ ᎠᎴ ᏱᏫᏨᎪᎥ, ᎠᎴ ᏯᎩᎪᏁᎸᏉ, ᏱᎦᏛᎬᎦ ᏂᏣᏛᎿᏕᎬᎢ, ᎤᎵᏂᎩᏛ ᏕᏥᏙᎬ ᏌᏉ ᎠᏓᏅᏙᎩᎯ, ᏌᏉ ᎠᏓᏅᏖᏗ ᎬᏗ, ᎠᏤᏉᎶᎯ ᎢᏣᏟᏂᎬᏁᏗᏱ ᎢᏥᏍᏕᎸᏗᏱ ᎪᎯᏳᏗ ᎨᏒ ᎣᏍᏛ ᎧᏃᎮᏛ.","Only let your manner of life be worthy of the gospel of Christ: that, whether I come and see you or be absent, I may hear of your state, that ye stand fast in one spirit, with one soul striving for the faith of the gospel;"
ᎾᏍᎩᏃ ᎤᏕᏘᏴᏌᏗᏒᎢ ᏭᎵᏏᎩᏴᎢ ᎤᏒᎯᏰᏱ,The darkest evening of the year.
"ᎾᏍᎩ ᎯᎠ ᏥᏌ ᎤᏁᎳᏅᎯ ᏕᎤᎴᏔᏅ, ᎠᎴ ᎾᏍᎩ ᎠᏴ ᏂᎦᏛ ᎣᏥᏃᎮᏍᎩ.","This Jesus did God raise up, whereof we all are witnesses."
"ᎯᏅᏏᏓᏍᏗ ᏕᏫ ᎠᎰᎵ ᏨᏔᏅᎯ ᎯᎠ ᎢᏣᏪᏛ ᏥᎩ; ᎦᏙᏃ ᏧᎾᏓᎴᏅᏛ ᏴᏫ ᎤᏂᏔᎳᏬᏎᎢ, ᎠᎴ ᏴᏫ ᎤᎾᏓᏅᏖᎴ ᎢᏳᎾᏛᏁᏗᏱ ᎾᏍᎩ ᎢᎬᏩᎵᏍᏙᏗ ᏂᎨᏒᎾ ᎨᏒᎢ.","who by the Holy Spirit, by the mouth of our father David thy servant, didst say, Why did the Gentiles rage, And the peoples imagine vain things?"
ᎰᎵᎦᏧ?”,Do you think you understand?”
ᏓᏨᏃᎯᏎᎵ ᏥᎸᏉᏗ ᎨᏒ ᎯᏥᏥ.,I think it is only fair to tell you that I was devoted to your mother.
"”ᏂᎬᎾᏛ ᎠᏓᏅᎵᏰᎠ,” ᎤᏪᎷᏁ ᏲᎾ ᎤᏤᏍᏙ.","“It’s getting all over everything,” shouted Fern."
"ᎢᏣᏛᎩᏍᎨᏍᏗᏃ ᏓᏅᏩ, ᎠᎴ ᎠᏂᏃᎮᎵᏙᎲ ᏓᏅᏩ, ᏞᏍᏗ ᏱᏣᏕᏯᏔᏁᎮᏍᏗ; ᎾᏍᎩᏰᏃ ᎠᏎ ᎢᏳᎵᏍᏙᏗ; ᎤᎵᏍᏆᏗᏍᏗᏱᏍᏗᏂ ᎨᏒ ᎠᏏ ᎨᏎᏍᏗ.","And when ye shall hear of wars and rumors of wars, be not troubled: these things must needs come to pass; but the end is not yet."
ᎾᏍᎩᏃ ᎨᏥᏅᏏᏛ ᎠᏂᏅ ᎢᎬᏱᏗᏢ ᏚᏂᎧᏁᎢ; [ᎨᏥᏅᏛᏃ] ᎤᎾᏓᏙᎵᏍᏔᏅ ᏚᎾᏏᏔᏕᎢ.,"whom they set before the apostles: and when they had prayed, they laid their hands upon them."
"ᎠᎴ ᏅᎩᏁ ᎠᏍᏚᎲ ᎤᏍᏚᎢᏒ, ᎠᏆᏛᎦᏅᎩ ᎧᏁᎬ ᏅᎩᎬ ᎾᏍᎩ Ꮎ ᎬᏃᏛ ᎯᎠ ᏂᎦᏪᏍᎬᎢ, ᎡᎭᎦᏔᏄᎦ.","And when he opened the fourth seal, I heard the voice of the fourth living creature saying, Come."
"ᏲᎾ ᎤᏤᏍᏙ ᏭᎧᏔᏁᎢ ᎧᏁᏌᎢ, ᎧᏴᏐᎵ ᎬᏗ ᎠᎲᏏᏙᎮ ᎧᏁᏍᎦ.",Fern peered through the door. Wilbur was poking the straw with his snout.
"ᎯᎠᏃ ᏂᏚᏪᏎᎴᎢ, ᎢᏤᏯᏔᎮᏍᏗ ᏄᏍᏛ ᎢᏣᏛᏟᎶᏒᎲ, ᎾᏍᎩᏯ ᎡᏣᎵᎾᎶᏒᏗ ᎨᏎᏍᏗ; ᏂᎯᏃ ᎢᏣᏛᎩᏍᎩ ᎡᏥᏁᏉᎡᏗ ᎡᏥᏁᏗ ᎨᏎᏍᏗ.","And he said unto them, Take heed what ye hear: with what measure ye mete it shall be measured unto you; and more shall be given unto you."
ᏫᎬᏲᏪᎳᏏ ᏗᎹᏗ ᎬᎨᏳᎢ ᎠᏇᏥ; ᎬᏩᎦᏘᏯ ᎤᏓᏙᎵᏍᏗ ᎨᏒ ᎠᎴ ᎤᏓᏙᎵᏣᏛ ᎨᏒ ᎠᎴ ᏅᏩᏙᎯᏯᏛ ᏕᏣᎧᎿᏩᏗᏙᎮᏍᏗ ᏅᏓᏳᎾᎵᏍᎪᎸᏔᏅᎯ ᎤᏁᎳᏅᎯ ᎢᎩᏙᏓ ᎠᎴ ᎦᎶᏁᏛ ᏥᏌ ᎢᎦᏤᎵ ᎤᎬᏫᏳᎯ.,"to Timothy, my beloved child: Grace, mercy, peace, from God the Father and Christ Jesus our Lord."
"ᎠᏗᎾ ᎢᏨᏂᏗᏳ ᎨᏒ ᎤᎧᎵᏨᎯ ᏧᎸᏫᏍᏓᏁᏗ ᎨᏒ ᏚᎸᏫᏍᏓᏁᎮᏍᏗ; ᎾᏍᎩᏃ ᏂᎯ ᎢᏥᎧᎵᏨᎯ ᎠᎴ ᎢᏥᏃᏍᏛ ᎨᏎᏍᏗ, ᎪᎱᏍᏗ ᏂᏥᎪᎸᎾ.","And let patience have its perfect work, that ye may be perfect and entire, lacking in nothing."
"ᏌᏩᏂᏃ ᏈᏓ ᎤᏍᏓᏩᏛᏒᎩ ᏥᏌ, ᎠᎴ ᎾᏍᏉ ᏅᏩᏓᎴ ᎠᏓᏍᏓᏩᏗᏙᎯ. ᎾᏍᎩ ᎠᏓᏍᏓᏩᏗᏙᎯ ᏄᎬᏫᏳᏒ ᎠᏥᎸ-ᎨᎶᎯ ᎤᎦᏔᎯ ᎨᏒᎩ; ᎢᏧᎳᎭᏃ ᏥᏌ ᎤᏂᏴᎸᎩ ᎤᏜᏅᏛᎢ ᏄᎬᏫᏳᏒ ᎠᏥᎸ-ᎨᎶᎯ ᎦᏁᎸᎢ.","And Simon Peter followed Jesus, and so did another disciple. Now that disciple was known unto the high priest, and entered in with Jesus into the court of the high priest;"
ᏝᏍᎪ ᏚᏳᎪᏛ ᏱᎩ ᏄᏍᏛ ᎦᏓᏅᏖᏍᎨ ᎢᏯᏋᏁᏗᏱ ᎠᏆᏤᎵ ᎨᏒᎢ? ᏥᏌ ᎯᎦᏙᎵ ᎤᏲᎢᏳ ᎢᎩ ᏅᏗᎦᎵᏍᏙᏗ ᎠᏴ ᎠᏆᏓᏅᏘᏳ ᎨᏒᎢ?,"Is it not lawful for me to do what I will with mine own? or is thine eye evil, because I am good?"
"ᎾᏍᎩᏃ ᎿᏉ ᎤᏂᏣᏘ ᎤᎾᏙᎴᎰᏒ ᏥᏌ ᎾᎿ ᏄᏙᎲᎾ ᎨᏒᎢ, ᎠᎴ ᎾᏍᏉ ᎬᏩᏍᏓᏩᏗᎰᎯ, ᎾᏍᎩ ᎾᏍᏉ ᏥᏳᎯ ᏚᎾᏣᏅᎩ, ᎠᎴ ᎨᏆᏂ ᎤᏂᎷᏨᎩ, ᎠᏂᏲᎲᎩ ᏥᏌ.","when the multitude therefore saw that Jesus was not there, neither his disciples, they themselves got into the boats, and came to Capernaum, seeking Jesus."
“ᎠᏯᏍᎪ ᎠᏆᏓᏅᏖᏙᏗ.”,“I should worry.”
"ᎠᏎᏃ ᎤᏛᎦᏅ ᎠᏥᎳ ᎤᎬᏫᏳᎯ ᎨᏒ ᏧᏗᏱ ᎤᏙᏓ ᎡᎶᏛ ᎤᏓᏁᏟᏴᏍᏓᏁᎸᎢ, ᎤᏍᎦᎴ ᎾᎿ ᏭᎶᎯᏍᏗᏱ; ᎠᏎᏃ ᎤᏁᎳᏅᎯ ᎤᏪᏯᏔᏅᎯ ᎨᏒ ᎠᏍᎩᏓᏍᎬᎢ, ᎨᎵᎵ ᏭᎪᎸᏍᏔᏁᎢ;","But when he heard that Archelaus was reigning over Judæa in the room of his father Herod, he was afraid to go thither; and being warned of God in a dream, he withdrew into the parts of Galilee,"
"ᎬᏩᏛᏛᏁᏃ ᎯᎠ ᏄᏂᏪᏎᎢ, ᏔᏕᏲᎲᏍᎩ, ᎢᎳᎪᏃ ᎢᏳ ᎯᎠ ᎾᏍᎩ ᏅᏓᎦᎵᏍᏔᏂ? ᎠᎴ ᎦᏙ ᎤᏍᏗ ᎤᏰᎸᏛ ᎨᏎᏍᏗ ᎾᎯᏳ ᎯᎠ ᎾᏍᎩ ᏧᏓᎴᏅᏛ ᎠᎵᏰᎢᎶᎸᎭ?","And they asked him, saying, Teacher, when therefore shall these things be? and what shall be the sign when these things are about to come to pass?"
