chr,en,num_words
ᎰᎻ ᎤᏄᎩᏣᏁᎢ ᎠᎳᏂ.,Mr. Zuckerman hugged Mrs. Zuckerman.,5
ᎤᏦᎢᏎᏗ ᎤᎵᏖᎸᏁᎢ ᎦᏍᎩᎶᏘ ᎪᏱᏁ.,Mrs. Arable shifted uneasily in her chair.,7
ᎿᏉᏃ ᏚᏲᎯᏎᎸᎩ ᎤᎾᏛᏗᏱ. ᎤᏂᏂᏴᏛᎩᏃ ᏥᏌ ᎠᎴ ᎤᎾᏘᎾᏫᏛᎲᎩ.,Then therefore he delivered him unto them to be crucified.,10
"”ᎡᎵᏍᏗᏗ,” ᎤᏛᏁ ᎠᎳᏂ.","“Maybe so,” said Mrs. Zuckerman.",5
ᏂᎦᏓᎮᎾ ᎤᏩᎾᏕ ᎡᎵᏍᎨ ᏩᎭᏯ.,Wolf thought he knew everything.,5
"Ꭵ, ᎠᏆᏛᏅ.","Yes, I said.",3
ᎠᏂᏲᎵᎮᏉ ᏧᏂᏍᏗ ᎧᏅᏂᏍᎩ.,The young spiders just waved.,5
ᎤᏓᏓᎩᏅᏎ ᏃᎴ ᎤᎵᏰᏔᏁᎢ ᎠᏑᎵᎪᎬ.,He heaved and grunted with desolation.,6
"“ᎭᏩ, ᏕᏂᎬᏩᏝᎦ,” ᎤᏛᏁ ᏥᏍᏕᏥ.","“All right, it’s a deal,” said the rat.",8
ᎠᏆᏛᏅ.,I said.,2
"“ᏍᎩᏃᎯᏏ ᎢᏳᏍᏗ ᏅᏁᎲᎢ ᎭᏩᏧ,” ᎤᏍᏗᏰᏔᏁ ᏫᎵᎻ.","“Please tell me what it is,” begged Wilbur.",8
"“ᏂᎯ ᏣᏤᎵ ᎨᏎᏍᏗ,” ᎤᏛᏁ ᏌᏌ.","“You can have it,” replied the goose.",7
ᏩᎾᎢ ᎤᏂᏏᏗ ᎦᏟᎮ ᏫᎵᎻ.,"Deep in his soft bed, Wilbur snoozed.",7
ᎤᏕᎰᏌᏘᏰᏃ.,He gets embarrassed easily.,4
"”ᎤᏙᏳᎯ,” ᎤᏛᏁ ᎪᏱᏁᎢ.","“Yes, I do,” said Mrs. Arable.",6
"ᎦᏢᏍᎩ ᏌᎳᏓ ᎤᏒᎯ ᏚᎷᏫᏍᏔᏁᎸ, ᎤᏰᏤ ᏚᎦᏙᏍᏕᎢ.","Charlotte, sleepy after her night's exertions, smiled as she watched.",10
"ᎯᏍᎩᏃ ᎢᏯᏂᏛ ᎠᏂᎦᏔᎿᎢ ᎨᏎᎢ, ᎯᏍᎩᏃ ᎤᏂᏁᎫ.","And five of them were foolish, and five were wise.",10
ᎤᏃᎴ ᏗᏲᏙᏗ ᎧᏂᎩᏓ ᎨᏎᎢ.,The balloonists were gone.,4
"“ᏄᏓᎴ ᎪᎨ ᎠᎵᏛᏓ,” ᎭᏫᏂ ᎤᏛᎴᎮ.","“Another summer gone,” she sighed.",5
ᎠᎴᎾ ᎠᏂᏐᎢ.,Maybe some others.,3
"ᎭᏩ ᏧᏍᏆᏴᏍᏗ, ᎣᏏᏉᏗ ᎨᏎᏍᏗ ᎣᎳ ᏗᎦᏃᏣᏟ, ᎡᎵᏍᏗ.","O.K., Templeton, the soap ad will do, I guess.",9
ᎭᎴᏫᏍᏓ!,Whoa! Attach! Good!,3
ᎠᏓᎴᏴᏗᏍᎩ.,They are millipedes.,3
ᎠᏎᏃ ᏍᎩᎾᎾ ᏄᏛᏁᎴ.,But she did.,3
ᎠᏎᏃ ᎢᏅᎯᎨᏍᏗ ᎢᏴ.,But farther along.,3
ᎤᎸᏂᏗᏍᎩ ᎢᏳᏍᏗ ᎨᏎ ᏗᎦᏙᎵ.,His eyes had a wild look.,6
ᎤᏍᎪᏒ ᏭᏕᎵᏨ ᎤᎦᏙᏍᏕ ᏫᎵᎻ.,Wilbur watched him disappear into his tunnel.,7
"ᎠᏎᏃ ᎤᏓᏱᎴ ᎯᎠ ᏄᏪᏎᎢ, ᎯᎨᏴ, ᎥᏝ ᏱᏥᎦᏔᎭ ᎾᏍᎩ.","But he denied, saying, Woman, I know him not.",9
ᎠᎦᎸᏓ ᏱᎬᏃᎢᏏ.,I'll bring you a piece of the package.,8
ᎯᎠᏃ ᏂᎦᏪᏍᎨ: ᎤᏍᏆᏂᎩᏗ ᏏᏆ!,It said:  SOME PIG!,4
ᎤᏁᎦ ᏃᎴ ᎤᏬᏍᎩᎵ ᎤᏬᏚᏨ ᏄᎵᏍᏔᏁᎢ ᏫᎵᎻ.,Wilbur grew beautifully white and smooth.,6
“ᎯᏣᎦᏎᏍᏓ ᏄᏔᎷᎩᏍᎬ ᎯᎠ ᏅᎩ ᏗᎦᏅᏌᏗ!,“Note the general radiance of this animal!,7
“ᏂᎦᏉ ᎾᎾᏛᎦ ᎪᎱᏍᏗ ᏳᏰᎵᏛᎾ!”  ᎤᎵᏍᎦᏎᏔᏁᎢ ᏥᏍᏕᏥ.,“What a lot of nonsense!” muttered the rat.,8
ᎯᎸ ᎢᏴ ᎤᏒᎯ ᎤᏲ ᎠᏍᎩᏗᏍᎨᎢ.,Sometimes at night he would have a bad dream.,9
ᎤᏴᏍᏗ ᏭᏓᏒᏍᏙᏗ ᎤᏛᏅᎢᏍᏔᏁ ᏫᎵᎻ.,Wilbur started to race out to his yard.,8
ᎫᏓᎸᏗ!,Attach!,1
"ᎠᎩᏄᎸᎲᎦ ᏩᎦᏌᎩᏍᏗ, ᏃᎴ ᎨᏍᏗ ᎬᎩᏠᏫᏍᏗ ᏱᎩ.","I can’t reach it, and I can't climb.",8
"ᎭᏩ, ᎠᏆᏛᏅ.","All right, I said.",4
ᎤᏂᏃᏕᎾ ᏧᎳᏏᏕᎾ ᎾᎥᏂ ᎠᏂᎾᏣᎡᎢ.,The sheep lay calmly at her feet.,7
"ᏌᏌ ᏍᏉ, ᎤᏂᏃᏕᎾ ᎢᏧᎳᎭ ᎠᏁᎮᎢ.","So did the geese, who lived with the sheep.",9
ᎡᏗᎨᏳᎠ ᎾᏍᎩ ᏅᏗᎦᎵᏍᏙᏗᎭ ᎠᏴ ᎢᎬᏱ ᎢᎩᎨᏳᎯᏳ ᏄᎵᏍᏔᏅᎢ.,"We love, because he first loved us.",7
"”ᎨᏍᏗᏃ ᎤᏙᎯᏳ ᏱᏥᎦᏔ,” ᎤᏛᏁ ᏌᎳᏓ.","“Well,” said Charlotte, vaguely, “I don't really know.",8
"ᎠᏎᏗ, ᎠᏆᏚᏓᎸᏅ ᎤᏟᏂᎩᏓ.","“Anyway, I can guarantee that it is strong.",8
ᎠᏓᏬᏍᏗ ᏥᎨᏐ ᎪᎨ ᎤᏗᎴᎩ ᏥᏓᏙᏓᏇᎪ!,Hot summer days are for swimming!,6
ᎠᎴ ᎠᏆᏓᏅᏙ ᎤᎵᎮᎵᏤᎸ ᎤᏁᎳᏅᎯ ᎠᎩᏍᏕᎵᏍᎩ.,And my spirit hath rejoiced in God my Saviour.,9
ᏫᏥ ᎢᏣ ᎤᏂᎾᎷᏒ ᏍᎩᎾᎾ ᏃᎴ ᎠᏂᏫᎾᎨ ᎠᏂᏍᎦᏯ.,He and the younger men began climbing away.,8
ᏌᏊᏃ ᎩᎳᏊ ᎢᏴᏓ ᏥᏲᎵᏨ ᎾᎥ ᎢᏦᎦᏓᎵ ᎨᏒᎢ.,I recognized one of them immediately as our neighbor.,9
ᎠᏇᏂ ᎡᏥᏲᎵᎸᎭ ᎢᏧᎳᎭ ᏦᎩᎸᏫᏍᏓᏁᎯ ᎦᎶᏁᏛ ᎤᏤᎵ ᏗᎦᎸᏫᏍᏓᏁᏗ ᎨᏒᎢ; ᎠᎴ ᏍᏕᎩ ᏥᎨᏳᎢ.,"Salute Urbanus our fellow-worker in Christ, and Stachys my beloved.",10
ᎠᏎᎩ ᎤᏲ ᏱᏂᎬᎦ ᏤᏣᎧᏃᏗ,"I guess I would mess up your looks,",8
“ᎭᏂᏉ ᎮᏙᎮᏍᏗ!” ᎤᏛᏁ ᎤᏥ.,“You stay right where you are!” said her mother.,9
ᎤᎵᏇᏅᎮ ᎦᏂᏓᏛ.,"His tail had a fine, tight curl in it.",9
ᏂᎦᏓ ᎢᏥᎷᏨᎯ.,Everyone is invited to attend.,5
ᏃᏊᏛ ᎤᎴᏅᎮ ᎠᏒᎬ ᏩᎭᏯ.,"Now, Wolf began smelling.",4
ᏨᏅᎦᏍᎪᏃ ᏫᏣᎷᎯᏍᏗ ᏗᎨᏅᏒ?”,Aren't you anxious to get home?”,6
ᎠᎬᏱ ᎤᏂᏲᎸᎢᏍᏔᏅ’ ᎪᏪᎴ.,It said PRE-SHRUNK.,3
ᎨᏍᏗ ᏳᏛᎦᏍᏔᎾ ᏫᎵᎻ.,Wilbur paid no attention.,4
ᎤᏭᏯᏔ ᎨᏒ ᎪᎱᏍᏗ.,It was something hairy.,4
ᏰᎵ ᏧᏙᏓᏆᏓ ᎤᏓᏬᎢᏙᎴ.,Littlefish swam slowly around the pool for several days.,9
ᎩᎶ ᏗᎦᎴᏅᏗᏍᎩ ᏌᏉ ᎠᎴ ᏔᎵ ᎢᏯᎨᏯᏔᏅᎯ ᎨᏎᏍᏗ ᎡᏥᏲᎢᏎᎸᎭ;,A factious man after a first and second admonition refuse;,10
ᏗᏛᎯᏍᏗᏍᎩ ᏓᎾᏑᏴᎥᏍᎪ ᎦᏙᎯ.,They add nutrients to the soil.,6
ᎠᏂᎦᏲᏟᎨ ᏴᏫ ᏕᏗᎭᏲᎲ ᎣᎯᏍᏙᏗ.,The fewer people we’re hunting the better.,7
ᏲᎾ ᎤᏤᏍᏙ ᎤᏄᎩᏣᏁ ᎤᏥ.,Fern hugged her mother.,4
"ᏍᏏᏉᏯᏃ ᎤᎴᏅᎮ ᏓᏟᎶᏍᏗᏍᎬ ᏗᎬᏟᎶᏍᏙᏗ ᏗᎧᏁᎢᏍᏗ ᏣᎳᎩ ᎦᏬᏂᏍᏗ, ᏌᏊ ᏗᏟᏍᏙᏗ ᏌᏊ ᎢᎧᏁᎢᏍᏗ.","Sequoyah began drawing hundreds of symbols, one for each word.",10
"“ᎠᎩᏲᏏᎭ,” ᎤᏛᏁ ᎡᎳᏆᏗ,","“I’m hungry,” said Avery.",4
"“ᎭᏩ, ᏂᎦᏓ ᎯᏕᏙ, ᏥᏍᏕᏥ ᎤᏩᏌ ᎧᏂᎩᏓ,” ᎤᏛᏁ ᏌᎳᏓ.","“Well, we are all here except the rat,” said Charlotte.",10
“ᎧᎪ ᎤᏩᎬᏗᎶᏓ ᏭᏪᏙᎴᎢ ᎤᏲ ᏩᏗᏅᏗ?” ᎤᏛᏛᏁ.,“Who made trip after trip to the dump?” he asked.,10
“ᏛᏛᏓᏂᎩ? ᎤᏪᎷᏁ ᏲᎾ ᎤᏤᏍᏙ.,“Do away with it?” shrieked Fern.,6
ᎠᏯ ᏍᏉ ᏍᎩᎾᏆᏍᏛ.,I had once been like that myself.,7
ᏃᏈᏏ ᏗᏴᏈᎴᏴᏓ ᎠᎾᏕᎭᏲᎲ.,Stars overlapped stars down a vertiginous well.,7
"ᎨᏍᏗ ᏍᏓᏯ ᎦᏬᏂᏍᎩ ᏱᎩ, ᎠᏎᏃ ᎦᏬᏂ.”","“She doesn’t talk very loud, but she talks.”",8
ᎠᎦᏔᎮᎢ ᎢᏧᏍᏗ ᏧᎿᏬᏍᏗ.,She knew just what to wear.,6
ᎦᏕᎶᎥᏍᎬ ᎠᎾᏟᏃᎮᏍᎬ.,I could see them talking.,5
ᏂᎦᏓ ᎠᏂᎸᏉᏗᏍᎨ ᏓᏏᎳᏛ.,Everyone admired the web.,4
ᎨᏍᏗ ᏯᏆᏚᎵ ᎠᎩᎵᏬᎢᏍᏗ.,I don’t want to die.,5
ᎪᎯᎢᏴ ᎤᎵᏌᎵᏓᏁ ᎤᎧᎭᏛ.,After a while the fog lifted.,6
"ᏄᏃᎵᏣᏛᎾ, ᎧᏃᎮᏛ ᏚᎾᏠᎯᏍᏛ ᎠᏂᏲᏍᏗᏍᎩ, ᎪᎱᏍᏗ ᏧᏅᎾ ᏂᏚᏂᎨᏳᏒᎾ, ᎬᏩᏃᎯᏍᏗ ᏂᎨᏒᎾ, ᏄᎾᏓᏙᎵᏣᏛᎾ;","without understanding, covenant-breakers, without natural affection, unmerciful:",7
ᏍᏔᏲ ᎤᏃᎯᎸᏎ Ꮎ ᎠᏒᏛᏓ.,The trap clanged hard.,4
ᎰᎻ ᎤᏟᏍᏓ ᏭᏴᏅᎮ ᎠᎳᏂ.,Mr. Zuckerman rushed and called Mrs. Zuckerman.,7
“ᎤᏨᏉᏗ ᏱᎨᏒᎾᎩ?” ᎤᏛᏁ ᏌᎳᏓ.,“Humble?” said Charlotte.,3
"“ᏏᏲ,” ᎤᏛᏁ.","“Hello, there!” he said.",4
"ᎤᏩᏙᎯᏴᏓ, ᎤᏛᏅ ᎤᏣᎴᏓ.","Peace, Lichen said.",3
ᎤᏐᏱᏉ ᏄᏅᎾᏕᎨ ᏗᎨᏥᎾᏌᎢ.,The animals treated her as an equal.,7
ᏑᎾᎴ ᏓᎨᏏ ᎤᏲ ᎤᎾᏗᏅᏗ.,“I'm making a trip to the dump tomorrow afternoon.,9
“ᏑᎾᎴ ᎤᎵᏍᏔᏴᏗ ᎯᎲᏏ!” ᎤᏛᏁ.,“Give him his breakfast!” she said.,6
ᎦᏣᏄᎳ ᏚᎴᏁ ᎡᎳᏆᏗ.,Avery jumped to his feet.,5
ᎾᏍᏓᏴ ᎤᏦᏱᎴᎢ.,Great sobs racked his body.,5
ᎦᎵᎡᎵᎪ ᎠᎦᏗᏓ ᎦᎥᏍᎩ ᎧᏅᏂᏍᎩ ᏥᎩ ᎠᏯ.”,I'm glad I'm a sedentary spider.,6
ᏍᎩᏄᏍᏕ ᎠᎾᏛᏛᎲᏍᎨ.,Those were the pressing questions.,5
ᏂᎦᏓ ᎣᏥᏴᏫᏯ.,All of us.,3
ᎠᏎᎩ ᎠᏎᏉ ᏂᎦᏛᏁᎮ.,I guess I was just trying to show off.,9
ᎤᏰᏤᎢ ᎡᎶᏗ.,Mr. Arable grinned.,3
XIV. ᎦᏂᎦᏔ ᎡᎹᏂᏓ,XIV. Dr. Dorian,3
ᏚᎷᏫᏍᏓᏁᎲ ᎠᏓᏅᏖᏍᎨᎢ ᏲᎾ ᎤᏤᏍᏙ.,As she worked she kept thinking about Fern.,8
“ᏣᏉᎩ ᏱᏛᎮᏏ? ᎤᏦᏱᎴᎢ.,“Not going back?” he cried.,5
"“ᎣᏍᏓ ᎾᏛᎦ ᎠᎨᏳᏣ,” ᎤᏓᏙᏎᎴ.",Good girl!”,2
“ᎯᏗᏍᏆᏙᎾ ᎯᎪ ᎢᎦ ᏕᏓᏦᏍᎬᎢ.,“The meeting is now adjourned.,5
ᏍᎩᎾᎾ ᎤᎾᏓᏔᎶᏒ.,Those are the winners.,4
ᏗᎦᏓᎷᎩᏍᎩ ᎤᏚᎵᏍᎨᎢ ᏧᎪᏩᏛᏗ ᎰᎻ.,Mr. Zuckerman particularly wanted to look at tractors.,8
"”Ꭵ, ᎤᏛᏁ ᎰᎻ.","“Why, yes,” said Mr. Zuckerman.",5
ᏂᎯ ᏣᏤᎵ ᎦᏙᎯ ᏍᏉ.,Your land included.,3
ᎤᏓᏅᏎ ᏌᎳᏓ.,Charlotte moved aside for him.,5
ᏂᎬᎾᏛ ᎠᎦᏕᏃᎰ ᎤᏙᎯᏳᎲ ᎦᏓ ᎪᏒᏅ.,Asmeret looks everywhere for evidence of soil being made.,9
“ᎮᎵᎠᏍᎪ ᎣᏏᏉ ᎨᏎᏍᏗ?” ᎤᏛᏛᏁ.,“Do you really think it’s all right?” she asked.,9
"ᏞᏍᏗ ᎤᏐᏅ ᏁᏨᏁᎸ ᏱᏣᏓᎵᏁᎯᏕᎴᏍᏗ, ᎤᏐᏅᏍᎩᏂ ᏁᏨᏁᎸ ᎯᏯᏓᎵᏁᎯᏕᎮᏍᏗ ᎣᏍᏛ ᎿᏛᏁᎲᎢ.","Be not overcome of evil, but overcome evil with good.",10
"ᎢᎦᏛᏃ ᏕᏥᏙᏓᎨᏍᏗ, ᏧᏓᎴᏅᏛ ᏂᏕᏣᏛᏁᎮᏍᏗ;","And on some have mercy, who are in doubt;",9
ᎭᏟᏂᎬᏁᎸᎭ ᏂᎪᎯᎸᎾᏉ ᏣᎷᎯᏍᏗᏱ ᎠᏂ ᎨᏙᎲᎢ.,Give diligence to come shortly unto me:,7
ᎤᏂᏩᏛᎮᏃ ᏅᏯ ᎢᏴᏛ ᏫᎦᏌᏆᎴᎸᏍᏔᏅᎯ ᎨᏎ ᎠᏤᎵᏍᏛᎢ.,And they found the stone rolled away from the tomb.,10
“ᎦᏙᏃ ᏂᎦᏗ ᏥᏣᏦᏱᎭ? ᎤᏛᏛᏁᎢ ᎰᎻ.,“What's everybody crying about?” asked Mr. Zuckerman.,7
ᎩᎳᏈᏴ ᏃᎴ ᏗᎤᏁᏤ.,In another minute he spoke.,5
ᏧᏍᏗ ᏓᏂᏏᎳᏛᎥᏍᎨ ᎦᏅᏙᏗ ᎾᎥᏂ.,They made tiny webs near the sac.,7
“ᏁᎵᏍᎬᎢᏍᎪ ᏄᏛᏁᎴᎢ ᎤᏓᏛᏛᏁ ᏫᎵᎻ.,“Did she succeed?” asked Wilbur.,5
"“ᏙᏳᎩ?” ᎤᏛᏁ ᏌᎳᏓ, ᎤᎨᏳᎯ ᏚᎧᎾᏁ.","“Do you?” said Charlotte, looking at him with affection.",9
"“ᏣᏉ ᎯᎪ ᎤᏒᎯ,” ᎤᏛᏁ ᎡᏝᏪ ᎢᏳᏍᏗ.","“Not tonight,” she said in a low voice.",8
"ᎯᎸᎯᏨ ᏗᎨᏥᏂᏴᏓ, ᎪᎰᏍᏘ ᎫᏩᏛᏁᏗ ᏱᎨᏒᎾ ᏧᏍᏕᎸᏗ.","At best, they were captives beyond his power to redeem.",10
ᏲᎾ ᎤᏤᏍᏙ ᏏᏆ ᎤᏴᏍᏗ ᏭᏴᎴᎢ ᏃᎴ ᏫᎵᎻ ᎦᎾᎥ ᎾᎥᏂ ᏚᏟᏂᏆᏅᏁ.,Fern climbed into the pen and knelt by Wilbur’s side.,10
”ᏓᏓᎾᏁᎶᏂᎨ ᏧᏍᏆᏴᏍᏗ?” ᎤᏛᏛ ᏫᎵᎻ.,"“Will you play with me, Templeton?” asked Wilbur.",8
"”ᏍᏆᏛᎦᏍᏓ, ᏍᏆᏛᎦᏍᏓ!” ᎤᏪᎷᏁ ᏌᏌ.","“Listen to me, listen to me!” screamed the goose.",9
ᎦᏳᎳᏰᏃ ᎢᎦᏛ ᎤᎾᎪᎸᏒ ᏎᏓᏂ ᎤᎾᏍᏓᏩᏕᏅ.,for already some are turned aside after Satan.,8
ᎤᏔᏕᎩᏍᎨ ᏃᎴ ᎤᏲᏏᏍᎨᎢ ᏥᏍᏕᏥ.,The rat was hungry and thirsty.,6
ᎤᎳᏏᏕᎾ ᎬᏗ ᎤᏒᏂᎴ ᏧᏍᏆᏴᏍᏗ ᎧᏁᏍᎪ ᎭᏫᏂᏣ.,Avery's foot touched Templeton under the straw.,7
ᎣᏍᏓ ᎤᏰᎸᎮ ᏌᎳᏓ ᏚᎶᏅᎮᎸ.,Charlotte was delighted with the way her trick was working.,10
ᏎᎦ ᎨᏍᏗ ᎪᎱᏍᏗ ᏳᏛᎾ ᏌᎳᏓ.,For a moment Charlotte said nothing.,6
ᎤᎴᏫᏍᏙᏗᎢ ᏗᎦᎶᎩᏍᎩ ᏧᏪᏅᏒᎢ ᎾᏓᏁᎸᎾ ᏱᎩ ᎡᏍᎦᏂ,To stop without a farmhouse near,6
ᏎᎦᏨ ᎦᏬᏂᏍᎬᎢ ᏃᏊ.,He barely spoke.,3
"”ᎣᏍᏓ ᎠᎩᏰᎸᎰ ᏩᏇᏓᏍᏗ ᎭᎾ,” ᎤᏛᏁ ᏲᎾ ᎤᏤᏍᏙ.","“I like it there,” replied Fern.",6
ᏥᏌ ᎯᎠ ᏂᏚᏪᏎᎸᎩ; ᏥᎪ ᎿᏉ ᎢᏦᎯᏳᎲᏍᎦ?,"Jesus answered them, Do ye now believe?",7
“ᎨᎵᎠ ᏰᎵᏉ ᏓᏓᎴᏅᎯᏉ ᏰᏙᎲᎾ ᏥᏍᏕᏥ.,“I guess we can proceed without him.,7
"”ᎠᏯ ᎤᏙᎯᏳᎯ,” ᎤᎵᏍᏗ ᎢᏳᏍᏗ ᏂᏧᏪᏎ.","“I did indeed,” replied Charlotte in a weak voice.",9
"”Ꭳ, ᎤᏬᏚᏨ ᎢᎦ, ᏎᎦᏨ ᎦᎷᎩ!","“Oh, beautiful day, it is here at last!",8
ᎦᏓᏁᏍᏛ ᏃᎴ ᎤᎵᏏᎬ ᎠᏁᎰ ᎤᎪᏏᏓ ᎢᏗᏅᏁ.,Most decomposers live in wet and dark places.,8
ᏃᎴ ᏄᏓᎴ ᏰᎵ ᎤᏒᎯ ᎢᏴ ᎠᏥᎸᏳᎸᏗ ᏙᎩᏃᏢ ᏣᎵ.,And from another long night by a campfire with Charley.,10
ᏐᏉ ᎢᏯᎦᏴᎵᏉ ᎾᏂᎭ?,And only a thousand of them?,6
"“Ꮒ,” ᎤᏪᎷᏁ ᏲᎾ ᎤᏤᏍᏙ ᏩᏎᎯᎮᎢ.","“Look!” cried Fern, pointing.",4
ᎠᏙᎯ ᎮᏓ!,Go down through the orchard and stroll in the woods!,10
ᎨᏍᏗ ᏗᏣᏏᎳᏛᏗ ᏱᎩ.,You don’t have to spin a web.,7
ᎦᎸᎶᎢ ᎢᎦᎯᎨ ᏄᎵᏍᏔᏁ.,The sky lightened.,3
"ᎿᏛᎦ, ᏣᎵ ᎠᎬᏱ ᏱᏓᏩᏘᏍᎬᎾ.",Do it before Charley gets to them.,7
ᏂᎯᎾᎲ!,Look at you!,3
“ᏍᏈᏯ ᏗᎦᎷᏫᏍᏔᏁᏗ ᏂᎬᏁᎰ ᎤᎵᏍᏗ.,A weakling makes trouble.,4
ᎣᏍᏓ ᎠᏓᏓᏍᎩᏐᏗ ᎭᎾᎾ.,It is a very sociable place.,6
"ᏔᎵᏁᎢ ᎨᏒ, ᎨᏍᏗ ᏏᏆ ᏱᏗᏥᏍᏆᏂᎪᏍᎦ.","In the second place, I am not interested in pigs.",10
ᏓᎴᎲᎦ ᏏᏆ!,The pig's up!,3
ᎣᏏᏳ ᏂᎨᏒᎾ.,"Unfair, yes.",2
“ᎠᎵᎮᎵᎩ!,“Joy!,1
